iter	Passed	Remaining
422	1853	2528
423	1861	2528
424	1864	2522
425	1871	2521
426	1873	2513
427	1875	2506
428	1878	2500
429	1879	2491
430	1886	2490
431	1887	2482
432	1889	2473
433	1890	2465
434	1893	2459
435	1895	2451
436	1897	2444
437	1898	2436
438	1900	2429
439	1903	2422
440	1904	2413
441	1906	2406
442	1913	2405
443	1915	2398
444	1918	2392
445	1920	2384
446	1921	2377
447	1928	2376
448	1930	2369
449	1932	2361
450	1934	2354
451	1936	2347
452	1938	2341
453	1940	2334
454	1944	2328
455	1945	2321
456	1948	2315
457	1951	2309
458	1958	2308
459	1960	2301
460	1962	2294
461	1964	2288
462	1966	2281
463	1972	2278
464	1974	2271
465	1976	2264
466	1978	2258
467	1980	2251
468	1982	2244
469	1989	2242
470	1991	2236
471	1992	2229
472	1994	2222
473	1996	2215
474	1998	2208
475	2005	2207
476	2007	2200
477	2009	2194
478	2010	2187
479	2012	2180
480	2018	2177
481	2020	2171
482	2022	2164
483	2024	2158
484	2027	2152
485	2032	2149
486	2034	2143
487	2037	2138
488	2040	2132
489	2043	2126
490	2050	2125
491	2052	2119
492	2054	2112
493	2056	2106
494	2058	2100
495	2060	2093
496	2065	2090
497	2067	2083
498	2069	2077
499	2071	2071
500	2074	2065
501	2080	2063
502	2082	2057
503	2084	2051
504	2087	2046
505	2089	2040
506	2096	2038
507	2098	2032
508	2100	2025
509	2102	2019
510	2104	2013
511	2105	2007
512	2111	2004
513	2113	1997
514	2115	1991
515	2117	1985
516	2118	1979
517	2121	1973
518	2124	1969
519	2126	1962
520	2128	1956
521	2129	1949
522	2131	1944
523	2133	1938
524	2136	1932
525	2141	1929
526	2144	1924
527	2146	1918
528	2148	1913
529	2151	1908
530	2157	1905
531	2159	1899
532	2161	1893
533	2163	1887
534	2164	1881
535	2166	1875
536	2171	1871
537	2172	1865
538	2174	1859
539	2175	1853
540	2178	1847
541	2180	1842
542	2182	1836
543	2188	1834
544	2191	1829
545	2193	1823
546	2195	1817
547	2196	1811
548	2198	1806
549	2200	1800
550	2202	1794
551	2204	1789
552	2207	1784
553	2208	1777
554	2210	1772
555	2214	1768
556	2216	1762
557	2218	1757
558	2220	1751
559	2221	1745
560	2223	1740
561	2226	1734
562	2229	1730
563	2232	1725
564	2241	1725
565	2243	1720
566	2245	1714
567	2247	1709
568	2248	1703
569	2250	1697
570	2252	1692
571	2256	1688
572	2258	1683
573	2260	1677
574	2262	1671
575	2263	1666
576	2265	1661
577	2267	1655
578	2274	1653
579	2276	1648
580	2278	1642
581	2280	1638
582	2282	1632
583	2287	1629
584	2289	1624
585	2291	1618
586	2293	1613
587	2295	1608
588	2297	1603
589	2301	1599
590	2303	1594
591	2305	1589
592	2307	1583
593	2309	1578
594	2311	1573
595	2313	1568
596	2319	1565
597	2321	1560
598	2324	1555
599	2326	1551
600	2329	1546
601	2334	1543
602	2337	1539
603	2339	1534
604	2341	1529
605	2344	1524
606	2347	1519
607	2349	1514
608	2351	1509
609	2353	1504
610	2355	1499
611	2357	1494
612	2359	1489
613	2360	1484
614	2362	1479
615	2364	1473
616	2366	1468
617	2368	1464
618	2370	1458
619	2372	1453
620	2373	1448
621	2375	1443
622	2377	1438
623	2379	1433
624	2381	1428
625	2383	1424
626	2387	1420
627	2389	1415
628	2391	1410
629	2393	1405
630	2395	1400
631	2397	1395
632	2399	1391
633	2405	1388
634	2408	1384
635	2411	1380
636	2413	1375
637	2418	1372
638	2420	1367
639	2422	1362
640	2424	1357
641	2426	1352
642	2427	1347
643	2429	1342
644	2433	1339
645	2435	1334
646	2436	1329
647	2438	1324
648	2440	1319
649	2442	1315
650	2444	1310
651	2450	1308
652	2451	1302
653	2453	1298
654	2455	1293
655	2457	1288
656	2459	1284
657	2464	1281
658	2466	1276
659	2467	1271
660	2470	1266
661	2472	1262
662	2474	1257
663	2476	1253
664	2477	1248
665	2479	1243
666	2481	1239
667	2483	1234
668	2485	1229
669	2487	1225
670	2494	1222
671	2496	1218
672	2498	1213
673	2500	1209
674	2502	1204
675	2504	1200
676	2506	1196
677	2509	1191
678	2511	1187
679	2514	1183
680	2519	1180
681	2521	1175
682	2523	1171
683	2525	1166
684	2527	1162
685	2529	1157
686	2531	1153
687	2537	1150
688	2538	1145
689	2540	1141
690	2542	1136
691	2544	1132
692	2546	1128
693	2553	1125
694	2555	1121
695	2557	1117
696	2559	1112
697	2561	1108
698	2562	1103
699	2564	1099
700	2566	1094
701	2568	1090
702	2571	1086
703	2572	1081
704	2574	1077
705	2581	1075
706	2583	1070
707	2586	1066
708	2588	1062
709	2590	1058
710	2595	1054
711	2597	1050
712	2600	1046
713	2603	1042
714	2605	1038
715	2610	1035
716	2612	1031
717	2613	1026
718	2615	1022
719	2617	1018
720	2619	1013
721	2621	1009
722	2629	1007
723	2631	1003
724	2632	998
725	2634	994
726	2637	990
727	2643	987
728	2645	983
729	2648	979
730	2649	975
731	2651	970
732	2655	967
733	2657	963
734	2659	958
735	2661	954
736	2663	950
737	2665	946
738	2667	942
739	2673	939
740	2675	934
741	2676	930
742	2679	926
743	2681	922
744	2683	918
745	2687	915
746	2690	911
747	2692	907
748	2695	903
749	2697	899
750	2703	896
751	2705	892
752	2707	888
753	2709	884
754	2711	879
755	2713	875
756	2720	873
757	2722	869
758	2724	864
759	2726	860
760	2728	856
761	2735	854
762	2737	850
763	2739	846
764	2741	842
765	2744	838
766	2745	834
767	2749	830
768	2751	826
769	2752	822
770	2754	818
771	2756	814
772	2758	810
773	2760	805
774	2766	803
775	2768	799
776	2770	795
777	2772	791
778	2774	787
779	2776	782
780	2780	779
781	2782	775
782	2784	771
783	2786	767
784	2788	763
785	2790	759
786	2794	756
787	2797	752
788	2799	748
789	2802	744
790	2803	740
791	2806	737
792	2813	734
793	2815	730
794	2818	726
795	2819	722
796	2822	718
797	2826	715
798	2828	711
799	2831	707
800	2833	703
801	2835	699
802	2836	695
803	2843	693
804	2845	689
805	2847	685
806	2849	681
807	2851	677
808	2853	673
809	2859	670
810	2861	666
811	2863	663
812	2865	659
813	2867	655
814	2872	652
815	2874	648
816	2876	644
817	2878	640
818	2880	636
819	2882	632
820	2887	629
821	2888	625
822	2890	621
823	2894	618
824	2897	614
825	2904	611
826	2906	608
827	2909	604
828	2911	600
829	2913	596
830	2917	593
831	2920	589
832	2922	585
833	2925	582
834	2927	578
835	2936	575
836	2941	572
837	2944	569
838	2946	565
839	2952	562
840	2954	558
841	2956	554
842	2958	551
843	2960	547
844	2964	543
845	2966	540
846	2968	536
847	2970	532
848	2973	528
849	2974	524
850	2976	521
851	2980	517
852	2982	513
853	2983	510
854	2985	506
855	2987	502
856	2989	498
857	2991	495
858	2999	492
859	3002	488
860	3004	485
861	3007	481
862	3013	478
863	3014	474
864	3016	470
865	3018	467
866	3020	463
867	3024	459
868	3026	456
869	3029	452
870	3031	448
871	3032	445
872	3034	441
873	3036	437
874	3043	434
875	3045	431
876	3047	427
877	3049	423
878	3051	420
879	3056	416
880	3057	413
881	3060	409
882	3062	405
883	3064	402
884	3065	398
885	3068	394
886	3070	391
887	3072	387
888	3074	383
889	3076	380
890	3078	376
891	3080	372
892	3082	369
893	3090	366
894	3092	362
895	3094	359
896	3097	355
897	3105	352
898	3109	349
899	3110	345
900	3112	342
901	3117	338
902	3120	335
903	3122	331
904	3124	327
905	3126	324
906	3128	320
907	3136	317
908	3138	314
909	3142	310
910	3143	307
911	3149	303
912	3153	300
913	3155	296
914	3157	293
915	3158	289
916	3160	286
917	3163	282
918	3166	279
919	3169	275
920	3171	272
921	3180	269
922	3182	265
923	3185	262
924	3187	258
925	3194	255
926	3196	251
927	3200	248
928	3202	244
929	3210	241
930	3212	238
931	3215	234
932	3217	231
933	3219	227
934	3228	224
935	3231	220
936	3234	217
937	3243	214
938	3244	210
939	3247	207
940	3249	203
941	3251	200
942	3258	196
943	3260	193
944	3263	189
945	3265	186
946	3266	182
947	3275	179
948	3278	176
949	3280	172
950	3281	169
951	3288	165
952	3290	162
953	3293	158
954	3296	155
955	3302	151
956	3304	148
957	3307	144
958	3309	141
959	3311	137
960	3317	134
961	3319	131
962	3323	127
963	3324	124
964	3326	120
965	3332	117
966	3334	113
967	3337	110
968	3339	106
969	3341	103
970	3343	99
971	3349	96
972	3352	93
973	3354	89
974	3356	86
975	3358	82
976	3363	79
977	3365	75
978	3368	72
979	3369	68
980	3371	65
981	3374	61
982	3379	58
983	3380	54
984	3384	51
985	3385	48
986	3387	44
987	3395	41
988	3409	37
989	3412	34
990	3414	31
991	3417	27
992	3420	24
993	3425	20
994	3427	17
995	3429	13
996	3431	10
997	3433	6
998	3436	3
999	3441	0
